형태소,빈도수
모르겠네요,3
찾을,3
칭찬,3
긋하고,3
나를,3
힘들었어요,3
찰떡,3
싶어,3
궁금해서,3
전문,3
받았어요,3
하시면서,3
오세요,3
보였어요,3
진짜진짜,3
맞게,3
부어,3
행복한,3
이틀,3
기전,3
방식,3
높아서,3
호텔,3
일이,3
참깨,3
단체,3
이긴,3
느껴져서,3
피오,3
궁금하다,3
보이는데,3
누가,3
공사,3
어쩐지,3
특별히,3
걷다가,3
네이버,3
좋아한다면,3
온다면,3
저렴한,3
비치,3
깜짝,3
마찬가지,3
싶은데,3
대표,3
기대했는데,3
편하고,3
롭고,3
휴가,3
구나,3
맛있는데,3
어쩜,3
알알이,3
택배,3
달아요,3
냐냐,3
와우,3
즐기면서,3
있는지,3
씹는,3
남녀,3
좋아할,3
냈다,3
어린이,3
야한다,3
돌아가는,3
진아,3
쫀득쫀득,3
호불호,3
쑥향,3
생각나는,3
들어있고,3
경력,3
어머니,3
쉽게,3
들렀다,3
없었음,3
현금,3
박스,3
통째,3
와중,3
싶었지만,3
주세요,3
순삭,3
느꼈다,3
여길,3
먹는게,3
공부,3
더라구요,3
마무리,3
홀짝,3
양은,3
고소,3
베이글,3
무언가,3
부가,3
수기,3
시끄럽고,3
몰랐는데,3
할듯,3
뭐시기,3
오미자,3
나는데,3
특이하고,3
휴업,3
뚫고,3
놓여져,3
왼쪽,3
마셨습니다,3
모르겠는데,3
수많은,3
할만,3
인절미,3
장미,3
시킴,3
놀람,3
했으나,3
패션,3
시키고,3
크리미,3
차는,3
아무리,3
완벽한,3
더치커피,3
연휴,3
열심히,3
봉산,3
마셨다,3
질감,3
입안,3
단순히,3
포함,3
남자,3
내리는,3
즐기는,3
왠지,3
가구,3
배치,3
영업,3
한다고,3
고를,3
패스,3
났어요,3
오고,3
하다는,3
더위,3
달콤해서,3
월요일,3
예정,3
하려고,3
있을까,3
하자면,3
수록,3
괜찮았고,3
한림,3
우유부단,3
최초,3
한국,3
사랑,3
실천,3
라이트,3
결정,3
거품,3
낮은,3
다녀온,3
해준,3
좋으면,3
빨리,3
없어,3
하셨던,3
마련,3
살아있는,3
말씀,3
느끼게,3
정작,3
어려운,3
통해,3
켠에,3
하였다,3
나가서,3
필요,3
상황,3
관리,3
우왕,3
맛있,3
였지만,3
없으면,3
하자,3
머핀,3
되면,3
찾다가,3
국적,3
올려진,3
쉽지,3
캐릭터,3
이란,3
확장,3
끝판,3
래서,3
이왕,3
화려,3
싶기도,3
레이,3
좋지만,3
내고,3
하고싶다,3
젤라또,3
말고,3
숟가락,3
시즌,3
라즈베리,3
한두,3
떨기,3
커스터드,3
주셨어요,3
잘라서,3
드립니다,3
즐기기에,3
났고,3
좋을거,3
지나,3
당시,3
받은,3
간격,3
가봤어요,3
이니까,3
하신,3
이라기보다는,3
않습니다,3
에서만,3
먹었네요,3
기존,3
카페나,3
적당하게,3
간곳,3
무료,3
두번째,3
예뻤어요,3
같으니,3
행복,3
만에,3
많아져서,3
토마토,3
좁아서,3
구워,3
쑥전,3
바라보는,3
에선,3
극찬,3
창틀,3
들어가,3
괜찮았던,3
가능한,3
이래서,3
까요,3
와의,3
비율,3
일부러,3
신다면,3
이후,3
세팅,3
아래,3
혜자,3
누텔라,3
같더라구요,3
찾아갔는데,3
포기,3
있겠지만,3
나왔네요,3
가세,3
보였는데,3
외진,3
받고,3
플레이,3
남친,3
먹는거,3
주오,3
합니당,3
만큼이나,3
이전,3
뷔페,3
한적하게,3
그러다,3
중상,3
아닌것,3
나왔다,3
하우스,3
가보자,3
지엄,3
착즙,3
귀엽게,3
바빠,3
아기자기,3
체험,3
오미자차,3
소세지,3
고로케,3
바구니,3
초록,3
하는것을,3
나와,3
찾아가서,3
달걀찜,3
장국,3
많을,3
귀여워서,3
한적하고,3
몇개,3
타임,3
종종,3
브레이브,3
가본,3
같았어요,3
보장,3
햇빛,3
보내고,3
재미있는,3
아기자기하게,3
로움,3
커피집,3
마셨어요,3
아쉽게도,3
눈앞,3
없었던,3
온도,3
내려서,3
싶습니다,3
눈치,3
지쳐,3
보시길,3
어쩔,3
명물,3
좀더,3
있더라,3
브레붸,3
평화,3
보았다,3
그다지,3
회전,3
풍림브뤠베,3
예쁘,3
퍽퍽,3
계셔서,3
멜로,3
하기는,3
핫초코,3
많았습니다,3
카톡,3
번호,3
티라미슈,3
이었네요,3
하시면,3
음료수,3
좋아하시면,3
연예인,3
주신다,3
공유,3
가보고,3
놔서,3
산책로,3
비슷하지만,3
유행,3
새벽,3
되는거,3
살수,3
진정한,3
아닐까,3
싶지,3
레스토랑,3
쳐는,3
주위,3
이런저런,3
얘기,3
하늘,3
짝꿍,3
감은,3
나기,3
아쉬워서,3
레알,3
브레드,3
짜리,3
식물,3
끼리,3
